time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss,rollout/exploration_rate,time/fps,rollout/ep_len_mean,time/total_timesteps
372,4,-88.5,19,0.001,187.45639038085938,0.9524999999999999,0,45.0,180
738,8,-84.75,64,0.001,97.16273498535156,0.905,0,45.0,360
1103,12,-84.16666666666667,109,0.001,91.77326965332031,0.8575,0,45.0,540
1462,16,-82.5,154,0.001,117.40669250488281,0.8099999999999999,0,45.0,720
1830,20,-81.7,199,0.001,87.48126220703125,0.7625000000000001,0,45.0,900
2200,24,-81.5,244,0.001,97.63446807861328,0.7150000000000001,0,45.0,1080
2568,28,-83.75,289,0.001,67.56855773925781,0.6675,0,45.0,1260
2968,32,-84.375,334,0.001,62.72048568725586,0.6199999999999999,0,45.0,1440
3338,36,-85.33333333333333,379,0.001,44.56794738769531,0.5725,0,45.0,1620
3767,40,-85.525,424,0.001,69.36529541015625,0.525,0,45.0,1800
4138,44,-84.1590909090909,469,0.001,86.91946411132812,0.47750000000000015,0,45.0,1980
4517,48,-84.20833333333333,514,0.001,61.365909576416016,0.43000000000000005,0,45.0,2160
4888,52,-84.15384615384616,559,0.001,51.856483459472656,0.38250000000000006,0,45.0,2340
5259,56,-85.32142857142857,604,0.001,70.35427856445312,0.33499999999999996,0,45.0,2520
5635,60,-84.75,649,0.001,72.08738708496094,0.2875000000000001,0,45.0,2700
6025,64,-84.875,694,0.001,81.05550384521484,0.2400000000000001,0,45.0,2880
6401,68,-84.54411764705883,739,0.001,91.04043579101562,0.1925,0,45.0,3060
6784,72,-83.70833333333333,784,0.001,60.47944641113281,0.14500000000000013,0,45.0,3240
7171,76,-83.05263157894737,829,0.001,73.04646301269531,0.09750000000000003,0,45.0,3420
7562,80,-82.2125,874,0.001,83.81524658203125,0.050000000000000044,0,45.0,3600
7955,84,-81.46428571428571,919,0.001,98.3621826171875,0.05,0,45.0,3780
8352,88,-81.22727272727273,964,0.001,74.07681274414062,0.05,0,45.0,3960
8754,92,-80.78260869565217,1009,0.001,57.55516052246094,0.05,0,45.0,4140
9147,96,-80.08333333333333,1054,0.001,90.81814575195312,0.05,0,45.0,4320
9545,100,-79.35,1099,0.001,79.87063598632812,0.05,0,45.0,4500
