Episode,C1,C2,C3,C4
1,200.30844444444443,126.31233333333333,183.61933333333334,125.70833333333333
2,194.08577777777776,130.2768888888889,180.11844444444444,138.12822222222223
3,194.65,129.61366666666666,172.61633333333333,136.02266666666668
4,205.914,146.53722222222223,228.44555555555556,179.20533333333333
5,186.38944444444445,123.86233333333334,179.70955555555557,138.9268888888889
6,164.0191111111111,127.11022222222222,172.55733333333333,146.90577777777779
7,198.12688888888889,165.7758888888889,194.724,183.74955555555556
8,185.19544444444443,159.06066666666666,179.06633333333335,144.19566666666665
9,186.00322222222223,131.96944444444443,169.02255555555556,157.05233333333334
10,182.49833333333333,142.32644444444443,171.7968888888889,156.54733333333334
